technique_id,control_id,Technique Name,Control Name
T1556.006,AC-1,Multi-Factor Authentication,Policy and Procedures
T1556.007,AC-1,Hybrid Identity,Policy and Procedures
T1137,AC-10,Office Application Startup,Concurrent Session Control
T1137.002,AC-10,Office Test,Concurrent Session Control
T1185,AC-10,Browser Session Hijacking,Concurrent Session Control
T1528,AC-10,Steal Application Access Token,Concurrent Session Control
T1021.001,AC-11,Remote Desktop Protocol,Device Lock
T1563.002,AC-11,RDP Hijacking,Device Lock
T1021.001,AC-12,Remote Desktop Protocol,Session Termination
T1072,AC-12,Software Deployment Tools,Session Termination
T1185,AC-12,Browser Session Hijacking,Session Termination
T1563.002,AC-12,RDP Hijacking,Session Termination
T1505.005,AC-12,Terminal Services DLL,Session Termination
T1137.002,AC-14,Office Test,Permitted Actions Without Identification or Authentication
T1020.001,AC-16,Traffic Duplication,Security and Privacy Attributes
T1070,AC-16,Indicator Removal on Host,Security and Privacy Attributes
T1070.001,AC-16,Clear Windows Event Logs,Security and Privacy Attributes
T1222,AC-16,File and Directory Permissions Modification,Security and Privacy Attributes
T1505,AC-16,Server Software Component,Security and Privacy Attributes
T1537,AC-16,Transfer Data to Cloud Account,Security and Privacy Attributes
T1547.007,AC-16,Re-opened Applications,Security and Privacy Attributes
T1548.003,AC-16,Sudo and Sudo Caching,Security and Privacy Attributes
T1550.001,AC-16,Application Access Token,Security and Privacy Attributes
T1552.005,AC-16,Cloud Instance Metadata API,Security and Privacy Attributes
T1558,AC-16,Steal or Forge Kerberos Tickets,Security and Privacy Attributes
T1558.003,AC-16,Kerberoasting,Security and Privacy Attributes
T1565,AC-16,Data Manipulation,Security and Privacy Attributes
T1565.001,AC-16,Stored Data Manipulation,Security and Privacy Attributes
T1565.002,AC-16,Transmitted Data Manipulation,Security and Privacy Attributes
T1567,AC-16,Exfiltration Over Web Service,Security and Privacy Attributes
T1602.002,AC-16,Network Device Configuration Dump,Security and Privacy Attributes
T1003,AC-16,OS Credential Dumping,Security and Privacy Attributes
T1025,AC-16,Data from Removable Media,Security and Privacy Attributes
T1041,AC-16,Exfiltration Over C2 Channel,Security and Privacy Attributes
T1048,AC-16,Exfiltration Over Alternative Protocol,Security and Privacy Attributes
T1048.002,AC-16,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Security and Privacy Attributes
T1048.003,AC-16,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,Security and Privacy Attributes
T1052,AC-16,Exfiltration Over Physical Medium,Security and Privacy Attributes
T1052.001,AC-16,Exfiltration over USB,Security and Privacy Attributes
