ts,process,asap_layer,stride_tags,details
2026-06-26T09:01:42.580207+00:00,P2,Access,"[""Spoofing"", ""InformationDisclosure""]","{""user_id"": ""payer_init"", ""wallet_id"": ""w_payer_init"", ""risk_score"": 0.2, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.580233+00:00,P2,Access,"[""Spoofing"", ""InformationDisclosure""]","{""user_id"": ""payee_init"", ""wallet_id"": ""w_payee_init"", ""risk_score"": 0.5, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.580420+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""bdafadca-9f26-4da8-a3f6-9be980db7a47"", ""amount"": 116.40128575498522, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.580431+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""bdafadca-9f26-4da8-a3f6-9be980db7a47"", ""amount"": 116.40128575498522, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.580797+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""8202355e-7ca8-409d-9719-e54e4c6425dd"", ""amount"": 86.12359349489034, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.580808+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""8202355e-7ca8-409d-9719-e54e4c6425dd"", ""amount"": 86.12359349489034, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.581008+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""2eaa184d-86ce-4f1c-abb6-4592d193efc6"", ""amount"": 22.681889446106197, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.581014+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""2eaa184d-86ce-4f1c-abb6-4592d193efc6"", ""amount"": 22.681889446106197, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.581195+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""c3dc968a-ba1d-420b-ba48-39376c36553d"", ""amount"": 164.9587768748985, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.581201+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""c3dc968a-ba1d-420b-ba48-39376c36553d"", ""amount"": 164.9587768748985, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.581367+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""f789b4a2-1d2c-4201-9277-bf002b60acb1"", ""amount"": 15.2522786554531, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.581373+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""f789b4a2-1d2c-4201-9277-bf002b60acb1"", ""amount"": 15.2522786554531, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.581595+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""df5e8886-d456-48c5-b041-dc2412c06882"", ""amount"": 187.15974455754437, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.581602+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""df5e8886-d456-48c5-b041-dc2412c06882"", ""amount"": 187.15974455754437, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.581798+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""f1c7e24e-6942-40aa-8b48-5dccb7ef12f6"", ""amount"": 10.7675735712511, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.581804+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""f1c7e24e-6942-40aa-8b48-5dccb7ef12f6"", ""amount"": 10.7675735712511, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.581985+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""22a97e5a-714b-40f1-98b6-454e873a7a25"", ""amount"": 167.41125479608777, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.581992+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""22a97e5a-714b-40f1-98b6-454e873a7a25"", ""amount"": 167.41125479608777, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.582198+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""d3a4fcab-6728-42c8-946d-ccc018d9348b"", ""amount"": 150.68184139798709, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.582205+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""d3a4fcab-6728-42c8-946d-ccc018d9348b"", ""amount"": 150.68184139798709, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.582397+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""25618c20-704f-4095-9ea8-3c93af469926"", ""amount"": 111.40852486363751, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.582402+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""25618c20-704f-4095-9ea8-3c93af469926"", ""amount"": 111.40852486363751, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.582607+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""9db30256-8652-4b4b-b034-2c1109ab5c1a"", ""amount"": 197.29070941665927, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.582614+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""9db30256-8652-4b4b-b034-2c1109ab5c1a"", ""amount"": 197.29070941665927, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.582854+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""7f2a3714-b3ff-40c3-8707-1188668c57e5"", ""amount"": 91.79357497754135, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
